"Addendum FF -- ASC Device Offset Percentages for CY 2023                                                                                                     
 (For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,
CPT codes and descriptions only are copyright 2022 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2022 American Dental Association.  All Rights Reserved.,,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,Jan 2023 Payment Indicator,Jan 2023 APC,Jan 2023 OPPS Payment Rate,Jan 2023 Device Offset Percentage,Jan 2023 Device Offset Amount / Device Portion
0100T,,Prosth retina receive&gen,K5,,,,
0101T,,Esw muscskel sys nos,R2,5113,"$2,717.33",0.00%,$0.00
0102T,,Esw phy anes lat hmrl epcndl,G2,5113,"$2,717.33",0.00%,$0.00
0200T,,Perq sacral augmt unilat inj,J8,5114,"$6,026.72",35.78%,"$2,156.36"
0201T,,Perq sacral augmt bilat inj,G2,5114,"$6,026.72",24.18%,$758.69
0213T,,Njx paravert w/us cer/thor,R2,5443,$852.18,0.00%,$0.00
0214T,,Njx paravert w/us cer/thor,N1,,,,
0215T,,Njx paravert w/us cer/thor,N1,,,,
0216T,,Njx paravert w/us lumb/sac,R2,5443,$852.18,0.00%,$0.00
0217T,,Njx paravert w/us lumb/sac,N1,,,,
0218T,,Njx paravert w/us lumb/sac,N1,,,,
0232T,,Njx platelet plasma,N1,5735,$377.57,2.32%,
0238T,,Trluml perip athrc iliac art,J8,5194,"$14,615.47",31.00%,"$4,530.80"
0253T,,Insert aqueous drain device,J8,5492,"$3,781.31",47.46%,"$1,794.61"
0263T,,Im b1 mrw cel ther cmpl,G2,5243,"$4,160.00",0.00%,$0.00
0264T,,Im b1 mrw cel ther xcl hrvst,G2,5243,"$4,160.00",0.00%,$0.00
0265T,,Im b1 mrw cel ther hrvst onl,G2,5243,"$4,160.00",0.00%,$0.00
0266T,,Implt/rpl crtd sns dev total,G2,5465,"$26,707.03",22.24%,"$3,092.36"
0268T,,Implt/rpl crtd sns dev gen,J8,5465,"$26,707.03",92.31%,"$24,653.26"
