"Addendum FF -- ASC Device Offset Percentages for CY 2024                                                                                                     
 (For Covered Surgical Procedures and Surgical Procedures for Which Payment is Packaged)",,,,,,,
CPT codes and descriptions only are copyright 2023 American Medical Association.  All Rights Reserved.  Applicable FARS/DFARS Apply.  Dental codes (D codes) are copyright 2023 American Dental Association.  All Rights Reserved.,,,,,,,
,,,,,,,
HCPCS Code,,Short Descriptor,October 2024 Payment Indicator,October 2024 APC,October 2024 OPPS Payment Rate,October 2024 Device Offset Percentage,October 2024 Device Offset Amount / Device Portion
0101T,,Esw muscskel sys nos,R2,5111,$224.69,0.00%,$0.00
0102T,,Esw phy anes lat hmrl epcndl,G2,5113,"$2,789.90",0.00%,$0.00
0200T,,Perq sacral augmt unilat inj,J8,5114,"$6,231.99",34.63%,"$2,158.14"
0201T,,Perq sacral augmt bilat inj,G2,5114,"$6,231.99",23.07%,$782.66
0213T,,Njx paravert w/us cer/thor,R2,5443,$868.45,0.00%,$0.00
0214T,,Njx paravert w/us cer/thor,N1,,,,
0215T,,Njx paravert w/us cer/thor,N1,,,,
0216T,,Njx paravert w/us lumb/sac,R2,5443,$868.45,0.00%,$0.00
0217T,,Njx paravert w/us lumb/sac,N1,,,,
0218T,,Njx paravert w/us lumb/sac,N1,,,,
0232T,,Njx platelet plasma,N1,,,,
0238T,,Trluml perip athrc iliac art,J8,5194,"$14,446.80",31.00%,"$4,478.51"
0253T,,Insert aqueous drain device,J8,5492,"$3,756.24",47.46%,"$1,782.71"
0263T,,Im b1 mrw cel ther cmpl,G2,5243,"$4,409.34",0.00%,$0.00
0264T,,Im b1 mrw cel ther xcl hrvst,G2,5243,"$4,409.34",0.00%,$0.00
0265T,,Im b1 mrw cel ther hrvst onl,G2,5243,"$4,409.34",0.00%,$0.00
0266T,,Implt/rpl crtd sns dev total,J8,1580,"$45,000.50",88.24%,"$39,708.44"
0268T,,Implt/rpl crtd sns dev gen,J8,5465,"$27,243.64",92.27%,"$25,137.71"
0269T,,Rev/remvl crtd sns dev total,G2,5432,"$5,533.75",0.00%,$0.00
0270T,,Rev/remvl crtd sns dev lead,G2,5461,"$3,486.46",0.00%,$0.00
0271T,,Rev/remvl crtd sns dev gen,G2,5461,"$3,486.46",0.00%,$0.00
0274T,,Perq lamot/lam crv/thrc,G2,5114,"$6,231.99",0.00%,$0.00
0275T,,Perq lamot/lam lumbar,J8,5114,"$6,231.99",58.73%,"$3,660.05"
0278T,,Tempr,N1,,,,
0308T,,Insj ocular telescope prosth,J8,5496,"$16,916.98",74.13%,"$12,540.56"
0330T,,Tear film img uni/bi w/i&r,N1,,,,
0335T,,Insj sinus tarsi implant,J8,5114,"$6,231.99",40.06%,"$2,496.54"
0338T,,Trnscth renal symp denrv unl,G2,5192,"$4,639.80",0.00%,$0.00
0339T,,Trnscth renal symp denrv bil,J8,5192,"$4,639.80",61.74%,"$2,864.61"
0342T,,Thxp apheresis w/hdl delip,G2,5243,"$4,409.34",0.00%,$0.00
0347T,,Ins bone device for rsa,N1,,,,
0348T,,Rsa spine exam,N1,,,,
0349T,,Rsa upper extr exam,N1,,,,
0350T,,Rsa lower extr exam,N1,,,,
0351T,,Intraop oct brst/node spec,N1,,,,
0353T,,Intraop oct breast cavity,N1,,,,
0379T,,Vis field assmnt tech suppt,N1,,,,
0397T,,Ercp w/optical endomicroscpy,N1,,,,
0402T,,Colgn crs-link crn&pachymtry,R2,5503,"$1,797.30",0.00%,$0.00
0408T,,Insj/rplc cardiac modulj sys,J8,5232,"$28,486.63",86.91%,"$24,757.73"
0409T,,Insj/rplc car modulj pls gn,J8,5231,"$22,210.79",90.35%,"$20,067.45"
0410T,,Insj/rplc car modulj atr elt,J8,5222,"$7,915.58",31.00%,"$2,453.83"
0411T,,Insj/rplc car modulj vnt elt,J8,5222,"$7,915.58",31.00%,"$2,453.83"
0412T,,Rmvl cardiac modulj pls gen,G2,5221,"$3,741.62",0.00%,$0.00
0413T,,Rmvl car modulj tranvns elt,G2,5221,"$3,741.62",0.00%,$0.00
0414T,,Rmvl & rpl car modulj pls gn,J8,5231,"$22,210.79",31.00%,"$6,885.34"
0415T,,Repos car modulj tranvns elt,G2,5181,$598.55,0.00%,$0.00
0416T,,Reloc skin pocket pls gen,G2,5054,"$1,737.53",0.00%,$0.00
0419T,,Dstrj neurofibroma xtnsv,R2,5053,$598.40,0.00%,$0.00
0420T,,Dstrj neurofibroma xtnsv,R2,5053,$598.40,0.00%,$0.00
0421T,,Waterjet prostate abltj cmpl,J8,5376,"$8,349.01",43.58%,"$3,638.50"
0437T,,Impltj synth rnfcmt abdl wal,N1,,,,
0439T,,Myocrd contrast prfuj echo,N1,,,,
0440T,,Abltj perc uxtr/perph nrv,G2,5431,"$1,648.99",0.00%,$0.00
0441T,,Abltj perc lxtr/perph nrv,J8,5431,"$1,648.99",37.09%,$611.61
0442T,,Abltj perc plex/trncl nrv,J8,5432,"$5,533.75",50.17%,"$2,776.28"
0443T,,R-t spctrl alys prst8 tiss,N1,,,,
0444T,,1st plmt drug elut oc ins,N1,,,,
0445T,,Sbsqt plmt drug elut oc ins,N1,,,,
